 v-sweep         vgs_out         vds_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  4.46953057e-13  4.46953057e-08 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  5.57755077e-13  5.57755077e-08 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  7.43893659e-13  7.43893659e-08 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  9.67149817e-13  9.67149817e-08 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  1.26232816e-12  1.26232816e-07 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  1.65250327e-12  1.65250327e-07 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  2.16807410e-12  2.16807410e-07 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  2.84924218e-12  2.84924218e-07 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  3.74937092e-12  3.74937092e-07 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  4.93851009e-12  4.93851009e-07 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  6.50945365e-12  6.50945365e-07 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  8.58467856e-12  8.58467856e-07 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  1.13258170e-11  1.13258170e-06 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.49461023e-11  1.49461023e-06 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  1.97271103e-11  1.97271103e-06 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  2.60406227e-11  2.60406227e-06 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  3.43765472e-11  3.43765472e-06 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  4.53817431e-11  4.53817431e-06 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  5.99087580e-11  5.99087580e-06 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  7.90822436e-11  7.90822436e-06 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  1.04384425e-10  1.04384425e-05 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  1.37768600e-10  1.37768600e-05 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  1.81807942e-10  1.81807942e-05 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  2.39891110e-10  2.39891110e-05 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  3.16478711e-10  3.16478711e-05 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  4.17439562e-10  4.17439562e-05 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  5.50490429e-10  5.50490429e-05 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  7.25773112e-10  7.25773112e-05 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  9.56605055e-10  9.56605055e-05 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  1.26046120e-09  1.26046120e-04 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  1.66024893e-09  1.66024893e-04 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  2.18596663e-09  2.18596663e-04 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  2.87684950e-09  2.87684950e-04 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  3.78414325e-09  3.78414325e-04 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  4.97467499e-09  4.97467499e-04 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  6.53543329e-09  6.53543329e-04 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  8.57941975e-09  8.57941975e-04 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  1.12530872e-08  1.12530872e-03 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  1.47457446e-08  1.47457446e-03 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  1.93013743e-08  1.93013743e-03 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  2.52333798e-08  2.52333798e-03 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  3.29428464e-08  3.29428464e-03 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  4.29409584e-08  4.29409584e-03 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  5.58762569e-08  5.58762569e-03 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  7.25674345e-08  7.25674345e-03 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  9.40423379e-08  9.40423379e-03 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  1.21583760e-07  1.21583760e-02 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  1.56782437e-07  1.56782437e-02 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  2.01597374e-07  2.01597374e-02 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  2.58423159e-07  2.58423159e-02 
 5.00000000e-01  5.00000000e-01  5.00000000e-02  3.30163152e-07  3.30163152e-02 
 5.10000000e-01  5.10000000e-01  5.00000000e-02  4.20306285e-07  4.20306285e-02 
 5.20000000e-01  5.20000000e-01  5.00000000e-02  5.33003385e-07  5.33003385e-02 
 5.30000000e-01  5.30000000e-01  5.00000000e-02  6.73136388e-07  6.73136388e-02 
 5.40000000e-01  5.40000000e-01  5.00000000e-02  8.46370519e-07  8.46370519e-02 
 5.50000000e-01  5.50000000e-01  5.00000000e-02  1.05917575e-06  1.05917575e-01 
 5.60000000e-01  5.60000000e-01  5.00000000e-02  1.31880062e-06  1.31880062e-01 
 5.70000000e-01  5.70000000e-01  5.00000000e-02  1.63318018e-06  1.63318018e-01 
 5.80000000e-01  5.80000000e-01  5.00000000e-02  2.01076245e-06  2.01076245e-01 
 5.90000000e-01  5.90000000e-01  5.00000000e-02  2.46024579e-06  2.46024579e-01 
 6.00000000e-01  6.00000000e-01  5.00000000e-02  2.99023314e-06  2.99023314e-01 
 6.10000000e-01  6.10000000e-01  5.00000000e-02  3.60882648e-06  3.60882648e-01 
 6.20000000e-01  6.20000000e-01  5.00000000e-02  4.32320158e-06  4.32320158e-01 
 6.30000000e-01  6.30000000e-01  5.00000000e-02  5.13921362e-06  5.13921362e-01 
 6.40000000e-01  6.40000000e-01  5.00000000e-02  6.06108389e-06  6.06108389e-01 
 6.50000000e-01  6.50000000e-01  5.00000000e-02  7.09120614e-06  7.09120614e-01 
