 v-sweep         vgs_out         vds_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  8.21104208e-14  8.21104208e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  9.10869264e-14  9.10869264e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  1.06066126e-13  1.06066126e-08 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  1.24129278e-13  1.24129278e-08 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  1.47974842e-13  1.47974842e-08 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  1.79475218e-13  1.79475218e-08 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  2.21108581e-13  2.21108581e-08 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  2.76013956e-13  2.76013956e-08 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  3.48541918e-13  3.48541918e-08 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  4.44474880e-13  4.44474880e-08 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  5.70972017e-13  5.70972017e-08 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  7.38221389e-13  7.38221389e-08 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  9.59054441e-13  9.59054441e-08 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  1.25048798e-12  1.25048798e-07 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  1.63548646e-12  1.63548646e-07 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  2.14362276e-12  2.14362276e-07 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  2.81438250e-12  2.81438250e-07 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  3.69986246e-12  3.69986246e-07 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  4.86851538e-12  4.86851538e-07 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  6.41060194e-12  6.41060194e-07 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  8.44546012e-12  8.44546012e-07 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  1.11299309e-11  1.11299309e-06 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  1.46710798e-11  1.46710798e-06 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  1.93412307e-11  1.93412307e-06 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  2.54994991e-11  2.54994991e-06 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  3.36178948e-11  3.36178948e-06 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  4.43183851e-11  4.43183851e-06 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  5.84182175e-11  5.84182175e-06 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  7.69916540e-11  7.69916540e-06 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  1.01450429e-10  1.01450429e-05 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  1.33647062e-10  1.33647062e-05 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  1.76011708e-10  1.76011708e-05 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  2.31728988e-10  2.31728988e-05 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  3.04967967e-10  3.04967967e-05 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  4.01179751e-10  4.01179751e-05 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  5.27482930e-10  5.27482930e-05 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  6.93158824e-10  6.93158824e-05 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  9.10288655e-10  9.10288655e-05 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  1.19456715e-09  1.19456715e-04 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  1.56634048e-09  1.56634048e-04 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  2.05191937e-09  2.05191937e-04 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  2.68523745e-09  2.68523745e-04 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  3.50992851e-09  3.50992851e-04 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  4.58191515e-09  4.58191515e-04 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  5.97261350e-09  5.97261350e-04 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  7.77287125e-09  7.77287125e-04 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  1.00977746e-08  1.00977746e-03 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  1.30924704e-08  1.30924704e-03 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  1.69391645e-08  1.69391645e-03 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  2.18654674e-08  2.18654674e-03 
 5.00000000e-01  5.00000000e-01  5.00000000e-02  2.81542553e-08  2.81542553e-03 
 5.10000000e-01  5.10000000e-01  5.00000000e-02  3.61551938e-08  3.61551938e-03 
 5.20000000e-01  5.20000000e-01  5.00000000e-02  4.62980035e-08  4.62980035e-03 
