 v-sweep         vsg_out         vsd_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  4.93150494e-14  4.93150494e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  4.93150494e-14  4.93150494e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  4.93150494e-14  4.93150494e-09 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  4.93150494e-14  4.93150494e-09 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  4.93150494e-14  4.93150494e-09 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  6.34131196e-14  6.34131196e-09 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  6.34131196e-14  6.34131196e-09 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  7.39866722e-14  7.39866722e-09 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  7.75111897e-14  7.75111897e-09 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  8.45602248e-14  8.45602248e-09 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  9.86582949e-14  9.86582949e-09 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  1.12756365e-13  1.12756365e-08 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  1.30378953e-13  1.30378953e-08 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  1.55050576e-13  1.55050576e-08 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  1.86771233e-13  1.86771233e-08 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  2.32589961e-13  2.32589961e-08 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  2.85457724e-13  2.85457724e-08 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  3.55948075e-13  3.55948075e-08 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  4.51110049e-13  4.51110049e-08 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  5.77992680e-13  5.77992680e-08 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  7.40120487e-13  7.40120487e-08 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  9.51591539e-13  9.51591539e-08 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  1.23707746e-12  1.23707746e-07 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  1.60010277e-12  1.60010277e-07 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  2.07943715e-12  2.07943715e-07 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  2.71032579e-12  2.71032579e-07 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  3.53506289e-12  3.53506289e-07 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  4.61708978e-12  4.61708978e-07 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  6.03394583e-12  6.03394583e-07 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  7.88431754e-12  7.88431754e-07 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  1.03091856e-11  1.03091856e-06 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  1.34847759e-11  1.34847759e-06 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  1.76437066e-11  1.76437066e-06 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  2.30785126e-11  2.30785126e-06 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  3.01874645e-11  3.01874645e-06 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  3.94816173e-11  3.94816173e-06 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  5.16200557e-11  5.16200557e-06 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  6.74662865e-11  6.74662865e-06 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  8.81552045e-11  8.81552045e-06 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  1.15142435e-10  1.15142435e-05 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  1.50310071e-10  1.50310071e-05 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  1.96100603e-10  1.96100603e-05 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  2.55671999e-10  2.55671999e-05 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  3.33091551e-10  3.33091551e-05 
 5.00000000e-01  5.00000000e-01  5.00000000e-02  4.33582595e-10  4.33582595e-05 
 5.10000000e-01  5.10000000e-01  5.00000000e-02  5.63838190e-10  5.63838190e-05 
 5.20000000e-01  5.20000000e-01  5.00000000e-02  7.32433486e-10  7.32433486e-05 
 5.30000000e-01  5.30000000e-01  5.00000000e-02  9.50280391e-10  9.50280391e-05 
 5.40000000e-01  5.40000000e-01  5.00000000e-02  1.23125493e-09  1.23125493e-04 
 5.50000000e-01  5.50000000e-01  5.00000000e-02  1.59292682e-09  1.59292682e-04 
 5.60000000e-01  5.60000000e-01  5.00000000e-02  2.05744766e-09  2.05744766e-04 
 5.70000000e-01  5.70000000e-01  5.00000000e-02  2.65265056e-09  2.65265056e-04 
 5.80000000e-01  5.80000000e-01  5.00000000e-02  3.41336833e-09  3.41336833e-04 
 5.90000000e-01  5.90000000e-01  5.00000000e-02  4.38299835e-09  4.38299835e-04 
 6.00000000e-01  6.00000000e-01  5.00000000e-02  5.61539525e-09  5.61539525e-04 
 6.10000000e-01  6.10000000e-01  5.00000000e-02  7.17708077e-09  7.17708077e-04 
 6.20000000e-01  6.20000000e-01  5.00000000e-02  9.14990832e-09  9.14990832e-04 
