 v-sweep         vsg_out         vsd_out         id              id_w           
 0.00000000e+00  0.00000000e+00  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 1.00000000e-02  1.00000000e-02  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 2.00000000e-02  2.00000000e-02  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 3.00000000e-02  3.00000000e-02  5.00000000e-02  4.57905319e-14  4.57905319e-09 
 4.00000000e-02  4.00000000e-02  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 6.00000000e-02  6.00000000e-02  5.00000000e-02  4.93150494e-14  4.93150494e-09 
 7.00000000e-02  7.00000000e-02  5.00000000e-02  5.28395669e-14  5.28395669e-09 
 8.00000000e-02  8.00000000e-02  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 9.00000000e-02  9.00000000e-02  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 1.00000000e-01  1.00000000e-01  5.00000000e-02  5.98886020e-14  5.98886020e-09 
 1.10000000e-01  1.10000000e-01  5.00000000e-02  5.63640845e-14  5.63640845e-09 
 1.20000000e-01  1.20000000e-01  5.00000000e-02  6.34131196e-14  6.34131196e-09 
 1.30000000e-01  1.30000000e-01  5.00000000e-02  7.04621546e-14  7.04621546e-09 
 1.40000000e-01  1.40000000e-01  5.00000000e-02  7.39866722e-14  7.39866722e-09 
 1.50000000e-01  1.50000000e-01  5.00000000e-02  7.39866722e-14  7.39866722e-09 
 1.60000000e-01  1.60000000e-01  5.00000000e-02  8.80847423e-14  8.80847423e-09 
 1.70000000e-01  1.70000000e-01  5.00000000e-02  9.86582949e-14  9.86582949e-09 
 1.80000000e-01  1.80000000e-01  5.00000000e-02  1.12756365e-13  1.12756365e-08 
 1.90000000e-01  1.90000000e-01  5.00000000e-02  1.33903470e-13  1.33903470e-08 
 2.00000000e-01  2.00000000e-01  5.00000000e-02  1.55050576e-13  1.55050576e-08 
 2.10000000e-01  2.10000000e-01  5.00000000e-02  1.90295751e-13  1.90295751e-08 
 2.20000000e-01  2.20000000e-01  5.00000000e-02  2.36114479e-13  2.36114479e-08 
 2.30000000e-01  2.30000000e-01  5.00000000e-02  2.88982242e-13  2.88982242e-08 
 2.40000000e-01  2.40000000e-01  5.00000000e-02  3.66521628e-13  3.66521628e-08 
 2.50000000e-01  2.50000000e-01  5.00000000e-02  4.61683601e-13  4.61683601e-08 
 2.60000000e-01  2.60000000e-01  5.00000000e-02  5.95615268e-13  5.95615268e-08 
 2.70000000e-01  2.70000000e-01  5.00000000e-02  7.57743075e-13  7.57743075e-08 
 2.80000000e-01  2.80000000e-01  5.00000000e-02  9.76263162e-13  9.76263162e-08 
 2.90000000e-01  2.90000000e-01  5.00000000e-02  1.26879812e-12  1.26879812e-07 
 3.00000000e-01  3.00000000e-01  5.00000000e-02  1.64592149e-12  1.64592149e-07 
 3.10000000e-01  3.10000000e-01  5.00000000e-02  2.13935395e-12  2.13935395e-07 
 3.20000000e-01  3.20000000e-01  5.00000000e-02  2.78786518e-12  2.78786518e-07 
 3.30000000e-01  3.30000000e-01  5.00000000e-02  3.63374939e-12  3.63374939e-07 
 3.40000000e-01  3.40000000e-01  5.00000000e-02  4.74749693e-12  4.74749693e-07 
 3.50000000e-01  3.50000000e-01  5.00000000e-02  6.20664719e-12  6.20664719e-07 
 3.60000000e-01  3.60000000e-01  5.00000000e-02  8.10988666e-12  8.10988666e-07 
 3.70000000e-01  3.70000000e-01  5.00000000e-02  1.05981960e-11  1.05981960e-06 
 3.80000000e-01  3.80000000e-01  5.00000000e-02  1.38654238e-11  1.38654238e-06 
 3.90000000e-01  3.90000000e-01  5.00000000e-02  1.81300900e-11  1.81300900e-06 
 4.00000000e-01  4.00000000e-01  5.00000000e-02  2.37129258e-11  2.37129258e-06 
 4.10000000e-01  4.10000000e-01  5.00000000e-02  3.09981036e-11  3.09981036e-06 
 4.20000000e-01  4.20000000e-01  5.00000000e-02  4.05283990e-11  4.05283990e-06 
 4.30000000e-01  4.30000000e-01  5.00000000e-02  5.29664214e-11  5.29664214e-06 
 4.40000000e-01  4.40000000e-01  5.00000000e-02  6.91968246e-11  6.91968246e-06 
 4.50000000e-01  4.50000000e-01  5.00000000e-02  9.03615525e-11  9.03615525e-06 
 4.60000000e-01  4.60000000e-01  5.00000000e-02  1.17930329e-10  1.17930329e-05 
 4.70000000e-01  4.70000000e-01  5.00000000e-02  1.53827540e-10  1.53827540e-05 
 4.80000000e-01  4.80000000e-01  5.00000000e-02  2.00509775e-10  2.00509775e-05 
 4.90000000e-01  4.90000000e-01  5.00000000e-02  2.61156148e-10  2.61156148e-05 
 5.00000000e-01  5.00000000e-01  5.00000000e-02  3.39848051e-10  3.39848051e-05 
 5.10000000e-01  5.10000000e-01  5.00000000e-02  4.41805294e-10  4.41805294e-05 
 5.20000000e-01  5.20000000e-01  5.00000000e-02  5.73713888e-10  5.73713888e-05 
 5.30000000e-01  5.30000000e-01  5.00000000e-02  7.44064394e-10  7.44064394e-05 
 5.40000000e-01  5.40000000e-01  5.00000000e-02  9.63652410e-10  9.63652410e-05 
 5.50000000e-01  5.50000000e-01  5.00000000e-02  1.24613544e-09  1.24613544e-04 
 5.60000000e-01  5.60000000e-01  5.00000000e-02  1.60870256e-09  1.60870256e-04 
 5.70000000e-01  5.70000000e-01  5.00000000e-02  2.07295906e-09  2.07295906e-04 
 5.80000000e-01  5.80000000e-01  5.00000000e-02  2.66586045e-09  2.66586045e-04 
 5.90000000e-01  5.90000000e-01  5.00000000e-02  3.42099891e-09  3.42099891e-04 
 6.00000000e-01  6.00000000e-01  5.00000000e-02  4.37999193e-09  4.37999193e-04 
 6.10000000e-01  6.10000000e-01  5.00000000e-02  5.59421290e-09  5.59421290e-04 
 6.20000000e-01  6.20000000e-01  5.00000000e-02  7.12680705e-09  7.12680705e-04 
 6.30000000e-01  6.30000000e-01  5.00000000e-02  9.05503535e-09  9.05503535e-04 
 6.40000000e-01  6.40000000e-01  5.00000000e-02  1.14730518e-08  1.14730518e-03 
 6.50000000e-01  6.50000000e-01  5.00000000e-02  1.44949378e-08  1.44949378e-03 
 6.60000000e-01  6.60000000e-01  5.00000000e-02  1.82581357e-08  1.82581357e-03 
 6.70000000e-01  6.70000000e-01  5.00000000e-02  2.29269901e-08  2.29269901e-03 
 6.80000000e-01  6.80000000e-01  5.00000000e-02  2.86961706e-08  2.86961706e-03 
 6.90000000e-01  6.90000000e-01  5.00000000e-02  3.57934846e-08  3.57934846e-03 
 7.00000000e-01  7.00000000e-01  5.00000000e-02  4.44815507e-08  4.44815507e-03 
 7.10000000e-01  7.10000000e-01  5.00000000e-02  5.50573590e-08  5.50573590e-03 
 7.20000000e-01  7.20000000e-01  5.00000000e-02  6.78490103e-08  6.78490103e-03 
 7.30000000e-01  7.30000000e-01  5.00000000e-02  8.32087203e-08  8.32087203e-03 
 7.40000000e-01  7.40000000e-01  5.00000000e-02  1.01501671e-07  1.01501671e-02 
 7.50000000e-01  7.50000000e-01  5.00000000e-02  1.23090751e-07  1.23090751e-02 
 7.60000000e-01  7.60000000e-01  5.00000000e-02  1.48318180e-07  1.48318180e-02 
 7.70000000e-01  7.70000000e-01  5.00000000e-02  1.77485684e-07  1.77485684e-02 
 7.80000000e-01  7.80000000e-01  5.00000000e-02  2.10835913e-07  2.10835913e-02 
 7.90000000e-01  7.90000000e-01  5.00000000e-02  2.48537540e-07  2.48537540e-02 
 8.00000000e-01  8.00000000e-01  5.00000000e-02  2.90676298e-07  2.90676298e-02 
 8.10000000e-01  8.10000000e-01  5.00000000e-02  3.37253037e-07  3.37253037e-02 
 8.20000000e-01  8.20000000e-01  5.00000000e-02  3.88188402e-07  3.88188402e-02 
 8.30000000e-01  8.30000000e-01  5.00000000e-02  4.43332933e-07  4.43332933e-02 
 8.40000000e-01  8.40000000e-01  5.00000000e-02  5.02480297e-07  5.02480297e-02 
 8.50000000e-01  8.50000000e-01  5.00000000e-02  5.65381981e-07  5.65381981e-02 
 8.60000000e-01  8.60000000e-01  5.00000000e-02  6.31758483e-07  6.31758483e-02 
 8.70000000e-01  8.70000000e-01  5.00000000e-02  7.01308422e-07  7.01308422e-02 
 8.80000000e-01  8.80000000e-01  5.00000000e-02  7.73733596e-07  7.73733596e-02 
 8.90000000e-01  8.90000000e-01  5.00000000e-02  8.48740753e-07  8.48740753e-02 
 9.00000000e-01  9.00000000e-01  5.00000000e-02  9.26047373e-07  9.26047373e-02 
 9.10000000e-01  9.10000000e-01  5.00000000e-02  1.00538616e-06  1.00538616e-01 
 9.20000000e-01  9.20000000e-01  5.00000000e-02  1.08650794e-06  1.08650794e-01 
 9.30000000e-01  9.30000000e-01  5.00000000e-02  1.16918327e-06  1.16918327e-01 
 9.40000000e-01  9.40000000e-01  5.00000000e-02  1.25320303e-06  1.25320303e-01 
 9.50000000e-01  9.50000000e-01  5.00000000e-02  1.33837831e-06  1.33837831e-01 
 9.60000000e-01  9.60000000e-01  5.00000000e-02  1.42453975e-06  1.42453975e-01 
 9.70000000e-01  9.70000000e-01  5.00000000e-02  1.51153645e-06  1.51153645e-01 
 9.80000000e-01  9.80000000e-01  5.00000000e-02  1.59923473e-06  1.59923473e-01 
 9.90000000e-01  9.90000000e-01  5.00000000e-02  1.68751670e-06  1.68751670e-01 
 1.00000000e+00  1.00000000e+00  5.00000000e-02  1.77627889e-06  1.77627889e-01 
 1.01000000e+00  1.01000000e+00  5.00000000e-02  1.86543072e-06  1.86543072e-01 
 1.02000000e+00  1.02000000e+00  5.00000000e-02  1.95489317e-06  1.95489317e-01 
 1.03000000e+00  1.03000000e+00  5.00000000e-02  2.04459748e-06  2.04459748e-01 
 1.04000000e+00  1.04000000e+00  5.00000000e-02  2.13448392e-06  2.13448392e-01 
 1.05000000e+00  1.05000000e+00  5.00000000e-02  2.22450071e-06  2.22450071e-01 
 1.06000000e+00  1.06000000e+00  5.00000000e-02  2.31460299e-06  2.31460299e-01 
 1.07000000e+00  1.07000000e+00  5.00000000e-02  2.40475194e-06  2.40475194e-01 
 1.08000000e+00  1.08000000e+00  5.00000000e-02  2.49491398e-06  2.49491398e-01 
 1.09000000e+00  1.09000000e+00  5.00000000e-02  2.58506009e-06  2.58506009e-01 
 1.10000000e+00  1.10000000e+00  5.00000000e-02  2.67516515e-06  2.67516515e-01 
 1.11000000e+00  1.11000000e+00  5.00000000e-02  2.76520743e-06  2.76520743e-01 
